,user_id,dlc_id,parent_id,recommended,num_review,num_owned_games,dlc_play_time_hr,game_play_time,price_diff,lag_month,dlc_price,game_price,dlc_release_date,game_release_date,dlc:Captionsavailable,dlc:Co-op,dlc:Commentaryavailable,dlc:Cross-PlatformMultiplayer,dlc:DownloadableContent,dlc:Fullcontrollersupport,dlc:Gamepad,dlc:HTCVive,dlc:In-AppPurchases,dlc:IncludesSourceSDK,dlc:Includesleveleditor,dlc:Keyboard/Mouse,dlc:LocalCo-op,dlc:LocalMulti-Player,dlc:MMO,dlc:Multi-player,dlc:OculusRift,dlc:OnlineCo-op,dlc:OnlineMulti-Player,dlc:PartialControllerSupport,dlc:Room-Scale,dlc:Seated,dlc:Shared/SplitScreen,dlc:Single-player,dlc:Standing,dlc:Stats,dlc:SteamAchievements,dlc:SteamCloud,dlc:SteamLeaderboards,dlc:SteamTradingCards,dlc:SteamTurnNotifications,dlc:SteamVRCollectibles,dlc:SteamWorkshop,dlc:TrackedMotionControllers,dlc:ValveAnti-Cheatenabled,dlc:WindowsMixedReality,Accounting,Action,Adventure,Animation&Modeling,AudioProduction,Casual,Design&Illustration,EarlyAccess,Education,FreetoPlay,Indie,MassivelyMultiplayer,PhotoEditing,RPG,Racing,Simulation,SoftwareTraining,Sports,Strategy,Utilities,VideoProduction,WebPublishing,Captionsavailable,Co-op,Commentaryavailable,Cross-PlatformMultiplayer,DownloadableContent,Fullcontrollersupport,Gamedemo,Gamepad,HTCVive,In-AppPurchases,IncludesSourceSDK,Includesleveleditor,Keyboard/Mouse,LocalCo-op,LocalMulti-Player,MMO,Mods,Mods-requireHL2,Multi-player,OculusRift,OnlineCo-op,OnlineMulti-Player,PartialControllerSupport,Room-Scale,Seated,Shared/SplitScreen,Single-player,Standing,Stats,SteamAchievements,SteamCloud,SteamLeaderboards,SteamTradingCards,SteamTurnNotifications,SteamVRCollectibles,SteamWorkshop,TrackedMotionControllers,ValveAnti-Cheatenabled,WindowsMixedReality
0,76561198002170603,259800,214950,0,14,144.0,0.0,2450,-56.96,1,2.99,59.95,2013-10-31,2013-09-02,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,89.0,34.0,0.0,0.0,16.0,0.0,2.0,0.0,15.0,50.0,7.0,0.0,20.0,4.0,24.0,0.0,1.0,27.0,0.0,0.0,0.0,11.0,34.0,7.0,12.0,0.0,49.0,0.0,1.0,1.0,9.0,8.0,19.0,1.0,1.0,1.0,6.0,1.0,0.0,61.0,1.0,5.0,10.0,38.0,0.0,1.0,9.0,121.0,0.0,22.0,93.0,63.0,31.0,81.0,0.0,0.0,23.0,0.0,20.0,0.0
0,76561198065317628,235580,8930,1,17,65.0,0.0,1882,0.0,34,29.99,29.99,2013-07-08,2010-09-21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0.0,45.0,11.0,0.0,0.0,8.0,0.0,2.0,0.0,14.0,24.0,2.0,0.0,10.0,2.0,7.0,0.0,4.0,12.0,0.0,0.0,0.0,8.0,14.0,3.0,9.0,0.0,18.0,0.0,2.0,3.0,9.0,6.0,9.0,2.0,1.0,1.0,2.0,1.0,0.0,31.0,3.0,3.0,6.0,15.0,1.0,2.0,6.0,50.0,1.0,14.0,39.0,21.0,9.0,30.0,0.0,1.0,11.0,1.0,13.0,1.0
0,76561198010310862,259800,214950,0,14,271.0,0.0,4633,-56.96,1,2.99,59.95,2013-10-31,2013-09-02,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,172.0,61.0,0.0,0.0,16.0,0.0,6.0,0.0,30.0,58.0,17.0,0.0,44.0,7.0,38.0,0.0,7.0,78.0,0.0,0.0,0.0,15.0,68.0,6.0,24.0,0.0,75.0,0.0,3.0,2.0,22.0,9.0,31.0,3.0,7.0,5.0,14.0,3.0,0.0,150.0,3.0,13.0,27.0,65.0,0.0,3.0,19.0,212.0,0.0,32.0,151.0,119.0,46.0,129.0,0.0,0.0,43.0,0.0,35.0,0.0
0,76561198055706705,259800,214950,0,15,108.0,0.0,4746,-56.96,1,2.99,59.95,2013-10-31,2013-09-02,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,57.0,17.0,0.0,0.0,4.0,0.0,8.0,0.0,7.0,33.0,7.0,0.0,22.0,0.0,25.0,0.0,0.0,34.0,1.0,0.0,0.0,11.0,29.0,3.0,15.0,0.0,24.0,0.0,2.0,3.0,5.0,4.0,19.0,3.0,2.0,2.0,5.0,0.0,0.0,57.0,3.0,7.0,12.0,29.0,0.0,3.0,3.0,87.0,0.0,12.0,71.0,54.0,13.0,65.0,0.0,0.0,27.0,0.0,13.0,0.0
0,76561198070681456,259800,214950,0,13,83.0,0.0,7840,-56.96,1,2.99,59.95,2013-10-31,2013-09-02,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,37.0,9.0,0.0,0.0,1.0,0.0,3.0,0.0,13.0,18.0,6.0,0.0,8.0,0.0,26.0,0.0,0.0,47.0,0.0,0.0,0.0,7.0,25.0,0.0,13.0,0.0,9.0,0.0,1.0,2.0,7.0,1.0,25.0,2.0,2.0,3.0,5.0,0.0,0.0,65.0,2.0,8.0,11.0,21.0,0.0,2.0,0.0,72.0,0.0,10.0,44.0,37.0,11.0,40.0,0.0,0.0,24.0,0.0,7.0,0.0
0,76561198067714346,259800,214950,0,7,108.0,0.0,15842,-56.96,1,2.99,59.95,2013-10-31,2013-09-02,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,68.0,22.0,0.0,0.0,7.0,0.0,4.0,0.0,25.0,39.0,7.0,0.0,30.0,0.0,13.0,0.0,1.0,42.0,0.0,0.0,0.0,7.0,32.0,4.0,20.0,0.0,26.0,0.0,1.0,4.0,11.0,6.0,15.0,1.0,4.0,11.0,6.0,1.0,0.0,72.0,3.0,10.0,21.0,25.0,2.0,2.0,9.0,95.0,3.0,20.0,68.0,63.0,13.0,62.0,0.0,0.0,21.0,3.0,11.0,0.0
0,76561198116368605,235580,8930,1,1,27.0,0.0,5628,0.0,34,29.99,29.99,2013-07-08,2010-09-21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0.0,21.0,6.0,0.0,0.0,3.0,0.0,3.0,0.0,12.0,12.0,5.0,0.0,5.0,2.0,9.0,0.0,2.0,6.0,0.0,0.0,0.0,5.0,10.0,1.0,5.0,0.0,6.0,0.0,1.0,1.0,11.0,2.0,9.0,1.0,2.0,2.0,5.0,0.0,0.0,20.0,1.0,4.0,7.0,9.0,0.0,1.0,2.0,17.0,0.0,7.0,20.0,6.0,2.0,21.0,0.0,0.0,9.0,0.0,5.0,0.0
0,76561198050933419,235580,8930,1,9,110.0,0.0,8610,0.0,34,29.99,29.99,2013-07-08,2010-09-21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0.0,70.0,28.0,0.0,0.0,19.0,0.0,3.0,0.0,13.0,59.0,6.0,0.0,20.0,2.0,16.0,0.0,5.0,26.0,0.0,0.0,0.0,6.0,33.0,5.0,13.0,0.0,44.0,0.0,0.0,0.0,7.0,3.0,17.0,0.0,6.0,6.0,4.0,0.0,0.0,45.0,0.0,10.0,13.0,20.0,0.0,0.0,15.0,99.0,0.0,21.0,82.0,59.0,27.0,66.0,0.0,0.0,25.0,0.0,9.0,0.0
0,76561198071161856,218550,49520,1,3,115.0,0.0,9863,-9.999999999999998,9,9.99,19.99,2013-06-25,2012-09-17,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0.0,57.0,30.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,19.0,1.0,0.0,28.0,7.0,11.0,0.0,6.0,35.0,0.0,0.0,0.0,2.0,19.0,2.0,5.0,0.0,29.0,0.0,0.0,0.0,2.0,1.0,12.0,0.0,2.0,0.0,1.0,0.0,0.0,43.0,0.0,2.0,1.0,21.0,0.0,0.0,13.0,96.0,0.0,11.0,57.0,42.0,21.0,41.0,0.0,0.0,16.0,0.0,7.0,0.0
0,76561198011798164,235580,8930,1,14,83.0,0.0,762,0.0,34,29.99,29.99,2013-07-08,2010-09-21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0.0,48.0,22.0,0.0,0.0,9.0,0.0,1.0,0.0,2.0,16.0,1.0,0.0,5.0,0.0,9.0,0.0,1.0,9.0,0.0,0.0,0.0,8.0,10.0,5.0,10.0,0.0,24.0,0.0,0.0,1.0,3.0,9.0,12.0,0.0,1.0,1.0,0.0,3.0,0.0,30.0,1.0,3.0,6.0,20.0,1.0,1.0,3.0,53.0,1.0,12.0,46.0,22.0,6.0,23.0,0.0,0.0,14.0,1.0,18.0,0.0
0,76561198068455314,249320,223750,0,2,53.0,0.0,3967,39.99,-5,39.99,0.0,2012-11-08,2013-03-18,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,36.0,11.0,0.0,0.0,2.0,0.0,6.0,0.0,7.0,15.0,6.0,0.0,8.0,2.0,15.0,0.0,1.0,10.0,0.0,0.0,0.0,7.0,19.0,2.0,7.0,0.0,16.0,0.0,2.0,3.0,4.0,3.0,9.0,3.0,3.0,3.0,4.0,0.0,0.0,28.0,3.0,8.0,9.0,13.0,0.0,3.0,2.0,39.0,1.0,6.0,32.0,22.0,6.0,24.0,0.0,0.0,12.0,0.0,9.0,0.0
0,76561198066523003,218550,49520,1,12,289.0,0.0,32184,-9.999999999999998,9,9.99,19.99,2013-06-25,2012-09-17,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0.0,153.0,73.0,0.0,0.0,33.0,0.0,7.0,0.0,23.0,156.0,9.0,0.0,55.0,6.0,40.0,0.0,4.0,98.0,0.0,0.0,0.0,17.0,58.0,10.0,36.0,0.0,74.0,0.0,1.0,1.0,11.0,10.0,41.0,1.0,6.0,9.0,9.0,1.0,0.0,99.0,1.0,16.0,22.0,60.0,0.0,1.0,26.0,252.0,0.0,40.0,189.0,153.0,62.0,159.0,0.0,0.0,36.0,0.0,18.0,0.0
0,76561198121668902,225340,200510,1,6,257.0,0.0,4066,0.0,13,29.99,29.99,2013-11-11,2012-10-08,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0.0,216.0,119.0,0.0,0.0,22.0,1.0,7.0,0.0,46.0,101.0,18.0,0.0,53.0,4.0,16.0,0.0,3.0,24.0,0.0,0.0,1.0,24.0,64.0,9.0,23.0,0.0,130.0,0.0,1.0,2.0,16.0,10.0,30.0,1.0,9.0,13.0,12.0,1.0,0.0,99.0,1.0,11.0,25.0,73.0,1.0,1.0,28.0,241.0,2.0,34.0,198.0,139.0,57.0,136.0,0.0,0.0,34.0,2.0,16.0,0.0
0,76561198069486293,259800,214950,0,34,340.0,0.0,3579,-56.96,1,2.99,59.95,2013-10-31,2013-09-02,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,154.0,87.0,0.0,0.0,23.0,0.0,12.0,0.0,20.0,113.0,9.0,0.0,38.0,2.0,83.0,0.0,3.0,124.0,0.0,0.0,0.0,22.0,57.0,5.0,31.0,0.0,69.0,0.0,1.0,4.0,15.0,8.0,41.0,2.0,6.0,5.0,6.0,2.0,0.0,139.0,3.0,18.0,26.0,58.0,1.0,3.0,16.0,271.0,2.0,33.0,171.0,124.0,40.0,160.0,0.0,0.0,53.0,2.0,23.0,0.0
