,title,genres,developer,publisher,release_date
9584,BARBAR BAR,"['Casual', ' Free to Play', ' Simulation']",TEDI Games,TEDI Games,2017-06-02
9587,UNTITLED,['Indie'],Bean Boy Games,Bean Boy Games,2017-06-02
9593,,,,,
9597,Adventures In Comedy,,,,2017-05-01
9599,StratoBash,"['Action', ' Indie', ' RPG']",Phr00t's Software,Phr00t's Software,2017-06-02
9600,Far Space VR,"['Action', ' Adventure', ' Casual', ' Indie', ' Simulation']",Alexey Glinskiy,Alexey Glinskiy,2017-05-10
9607,VR SUSHI BAR,"['Casual', ' Simulation']",mikai inc.,mikai inc.,2017-05-30
9617,The Existence Abstract,"['Action', ' Indie']",Soukdee Games,Soukdee Games,2017-06-05
9631,,,,,
9633,Power Solitaire VR,"['Action', ' Casual', ' Simulation', ' Strategy']",Parkerhill Reality Labs,Parkerhill Reality Labs,2017-06-07
9638,Airtone,"['Action', ' Adventure']",historia Inc,AMG GAMES,2017-06-08
9643,VR Theme Park Rides,"['Casual', ' Simulation']",EnsenaSoft,EnsenaSoft,2017-06-08
9644,Toy Plane Heroes,"['Action', ' Indie', ' Racing']",Oasis VR,Oasis VR,2017-06-08
9648,Darknet,"['Indie', ' Strategy']",E McNeill,E McNeill,2017-06-08
9651,Bubble Labs VR,"['Casual', ' Simulation']",Kishan Emens (dev),Kishan Emens,2017-06-08
9653,The Frontier Outskirts VR,"['Action', ' Adventure', ' Indie', ' Simulation', ' Early Access']",Matt's Creations,Matt's Creations,2017-06-11
9654,Pixel Gear,"['Action', ' Indie']",Geronimo Interactive,Geronimo Interactive,2017-06-12
9657,Isle in the Sky,"['Action', ' Simulation', ' Sports']",Jan-Fredrik Braseth,Fome Productions,2017-06-12
9667,,,,,
9671,WiseMind,"['Software Training', ' Early Access']",REALITEER Corp.,REALITEER Corp.,2017-06-13
9673,BOXVR,"['Action', ' Casual', ' Indie', ' Sports', ' Early Access']",FitXR,FitXR,2017-06-13
9675,,,,,
9676,,,,,
9677,Dying To Kill,,,,2016-12-10
9678,,,,,
9679,,,,,
9680,,,,,
9681,,,,,
9682,,,,,
9683,,,,,
9684,,,,,
9685,,,,,
9693,Bullet Dodge,"['Action', ' Casual', ' Indie']",QRA-CS,QRA-CS,2017-06-15
9705,The Mechanical Room VR,['Action'],MASH Virtual,MASH Virtual,2017-06-15
9719,VINDICTA,['Early Access'],Game Cooks,Game Cooks,2017-06-19
9720,Child of the Wind,"['Action', ' Casual', ' Indie', ' Strategy']",Freetale,Freetale,2017-06-16
9721,,,,,
9722,Keep Defending,"['Action', ' Indie']",Faster Time Games Limited,Faster Time Games Limited,2017-06-19
9742,Drone Hero,"['Action', ' Indie', ' Simulation', ' Sports', ' Early Access']",Neuston AB,Neuston AB,2017-06-20
9745,,,,,
9762,,,,,
9763,Forest Fairy Five,,,,2017-06-21
9765,Idol Incidents,,,,2017-06-21
9767,Minami Kamakura High School Girls Cycling Club,,,,2017-06-21
9769,Dream Festival,,,,2017-06-21
9770,,,,,
9771,Chain Chronicle,,,,2017-06-21
9772,,,,,
9773,,,,,
9775,Gabriel Dropout,,,,2017-06-21
9776,Piacevole,,,,2017-06-21
9777,,,,,
9779,Ojisan and Marshmallow,,,,2017-06-21
9790,SPACE DVRTS,"['Action', ' Sports']",Laser Fuel Games,Laser Fuel Games,2017-06-22
9795,,,,,
9801,Unearthing Mars VR,"['Adventure', ' Simulation']",Winking Entertainment,Winking Entertainment,2017-06-22
9811,VRTGO,['Video Production'],VRLive,VRLive,2017-06-23
9823,Gunball,"['Casual', ' Indie', ' Sports']",REDspace,REDspace,2017-06-28
9832,Trainscape,"['Indie', ' Simulation', ' Early Access']",Bit Toys,Bit Toys,2017-06-28
9839,High clear VR,"['Action', ' Casual', ' Sports']",FiveStarGames,FiveStarGames,2017-06-26
9841,TublerVR,"['Action', ' Adventure', ' Casual', ' Indie', ' Simulation', ' Strategy', ' Early Access']",Reto Kolly,SiliconWetware,2017-06-29
9844,Zombie Hobby VR,"['Action', ' Adventure', ' Indie', ' Simulation', ' Sports']",Pointlight Games,Pointlight Games,2017-06-29
9851,,,,,
9852,,,,,
9866,Uphill Skiing,"['Casual', ' Indie', ' Sports']",Happy Hobgoblin,Happy Hobgoblin,2017-06-30
9867,,,,,
9868,Tilted Mind,['Indie'],Paul Svelmoe,Paul Svelmoe,2017-06-09
9874,Xenobox VR,"['Action', ' Indie', ' Early Access']",Motion Games Studio,Motion Games Studio,2017-07-01
9882,,,,,
9888,Grey Lady,,,,2017-06-27
9897,Heroes Never Die,"['Action', ' Adventure', ' Indie', ' Early Access']",FrostbiteGames,FrostbiteGames,2017-07-07
9904,Eye of Odin,"['Action', ' Early Access']",Emberlight VR,Emberlight VR,2017-07-07
9905,,,,,
9906,,,,,
9909,,,,,
9931,The Dark Tapes,,,,2017-03-17
9935,Retro Block VR,"['Casual', ' Indie']",Mocove Studio,Mocove Studio,2017-07-10
9936,Tunnel Runner VR,"['Casual', ' Simulation']",Mocove Studio,Mocove Studio,2017-07-10
9938,Survivor VR,"['Action', ' Adventure', ' Simulation', ' Strategy']",Lucid Dream Studio,Lucid Dream Studio,2017-07-12
9960,,,,,
9961,CloudCity VR,"['Indie', ' Simulation', ' Strategy']",Floating Point Interactive,Floating Point Interactive,2017-07-13
9962,Balloon Chair Death Match,['Action'],Climax Studios Ltd,Climax Studios Ltd,2017-07-13
9974,Space Dream VR,"['Adventure', ' Casual', ' Indie']",Davis3D,Davis3D,
10002,,,,,
10011,Simple Creature,,,,2017-07-11
10012,Breakdance Academy,,,,2017-07-11
10015,,,,,
10023,Mortal Blitz,['Action'],Skonec Entertainment,Skonec Entertainment,2017-07-19
10024,OldMaidGirl,['Casual'],Vrai,Vrai,2017-07-19
10026,Cutlass,"['Action', ' Adventure', ' Indie', ' Simulation']",Demigon,Demigon,2017-07-20
10031,Ultrawings,"['Adventure', ' Simulation']","Bit Planet Games, LLC","Bit Planet Games, LLC",2017-07-20
10033,Micro Cosmic Worlds,['Education'],"Codon, Inc.","Codon, Inc.",2017-07-20
10035,Verto Studio VR,"['Animation & Modeling', ' Design & Illustration']",Verto Studio LLC,Verto Studio LLC,2017-07-20
10038,Disco Destruction,"['Casual', ' Indie', ' Simulation', ' Early Access']",Subjective,Subjective,2017-07-20
10043,VeeR VR,"['Animation & Modeling', ' Video Production']",Velocious Technologies,Velocious Technologies,2017-07-20
10046,OzGrind Virtual Reality Showroom,['Simulation'],Viewport Studios,Viewport Studios,2017-07-20
10057,,,,,
10061,MYSTIC VR,['Adventure'],Null Activity,Null Activity,2017-07-21
10066,Fight Sparring VR,"['Indie', ' Simulation', ' Sports']",Chun Y.,Chun Y.,2017-07-24
10071,Infinite Mini Golf,"['Casual', ' Indie', ' Sports']",Zen Studios,Zen Studios,2017-07-25
10105,Aliens In The Yard,"['Action', ' Indie', ' Simulation']",Fair Games Studio,Fair Games Studio,2017-07-25
10114,,,,,
10115,4th of July VR,"['Action', ' Casual', ' Simulation']",Moontower VFX,Moontower VFX,2017-07-04
10116,,,,,
10123,Slingshot Cowboy VR,"['Action', ' Simulation']",BVG Software Group,BVG Software Group,2017-07-28
10124,Run Of Mydan,"['Action', ' Adventure', ' Early Access']",Virtew,Virtew,2017-07-28
10127,The Wizards,"['Action', ' Adventure', ' Early Access']",Carbon Studio,Carbon Studio,2017-07-28
10148,Outpost L5,"['Action', ' Casual', ' Indie']",VHornet Games,VHornet Games,2017-07-28
10158,Fisher Fans VR,"['Action', ' Casual']",Value,Value,2017-07-31
10173,Chee and T,,,,2017-08-01
10191,Arena,"['Action', ' Indie', ' Simulation', ' Sports', ' Early Access']",Surreal Games,Surreal Games,2017-08-01
10192,Good Fortune,,,,2017-08-01
10198,Ghost Note,,,,2017-08-01
10219,RETNE,"['Adventure', ' Casual', ' Free to Play', ' RPG']",VRNI Ltd,"VRNI Ltd, Kainos",2017-08-02
10232,,,,,
10245,Space Panic Arena,"['Action', ' Early Access']",Xefier Games Inc.,EvolVR Games Ltd.,2017-08-03
10252,Runaway VR,"['Action', ' Adventure', ' Casual', ' Indie']",Panoramik Inc,Panoramik Inc,2017-08-04
10268,,,,,
10271,,,,,
10291,Sankhara,"['Casual', ' Animation & Modeling', ' Video Production']",Tendril Studio,Tendril Studio,2017-08-08
10292,Grand Expanse,"['Animation & Modeling', ' Video Production']",Tendril Studio,Tendril Studio,2017-08-08
10296,,,,,
10297,Rift Coaster HD Remastered VR,"['Casual', ' Simulation']",VR VISIO,Forever Entertainment S. A.,2017-08-09
10305,TimeLock VR,"['Action', ' Adventure', ' Casual', ' Indie']",Whale Rock Games,Whale Rock Games,2017-08-09
10306,,,,,
10310,BoostBots VR,"['Action', ' Casual', ' Indie', ' Simulation', ' Early Access']",Sundermix LLC,Sundermix LLC,2017-08-09
10334,,,,,
10336,Aquila Bird Flight Simulator,"['Casual', ' Simulation', ' Early Access']",Graeme Scott,Graeme Scott,2017-08-18
10340,VRCAT,"['Animation & Modeling', ' Design & Illustration']","ARCAT, Inc.","ARCAT, Inc.",2017-08-14
10356,Bear With Us,,,,2017-08-15
10365,Song Samurai,"['Action', ' Casual', ' Simulation']",Jake Overall,CodeWorks,2017-08-15
10393,VR Battleship YAMATO,['Casual'],Kanda Technologies,Kanda Technologies Inc.,2017-08-17
10394,The Music Room,['Audio Production'],Chroma Coda,Chroma Coda,2017-08-17
10396,Journey VR,,,,2017-08-17
10397,,,,,
10398,VR Formula,"['Action', ' Racing']",SAT-BOX,SAT-BOX,2017-08-18
10418,Chop and Drop VR,"['Casual', ' Free to Play', ' Indie', ' Simulation']","Designing Digitally, Inc.","Designing Digitally, Inc.",2017-08-21
10421,CanBoom VR,"['Casual', ' Indie']",eiNpictures,eiNpictures,2017-08-22
10427,Chroma Lab,"['Casual', ' Indie', ' Simulation']",Sean Tann,Sean Tann,2017-08-22
10429,Treasure Hunt VR,['Action'],Amusitronix,Amusitronix,2017-08-22
10442,Little Earth,"['Casual', ' Indie', ' Simulation', ' Early Access']",RedRabbit Animation,Red Rabbit Company Limited,2017-08-22
10444,Treasure Hounds,,,,2017-08-15
10446,Altar Show,"['Design & Illustration', ' Education', ' Utilities', ' Early Access']","Altar Virtual Technologies, Inc.","Altar Virtual Technologies, Inc.",2017-08-23
10457,Legendary Hunter VR,"['Action', ' Adventure', ' Casual', ' Indie', ' Simulation', ' Sports']",LastnOni,Frozen Dreams,2017-08-24
10470,Data Thief,['Indie'],Caliber Seraphim,"Ottercopter Studios, LLC",2018-01-30
10473,Protagon VR,"['Casual', ' Indie']",Digital Eel,Digital Eel,2017-08-24
10475,Shaun the Sheep Movie,,,,2015-11-10
10490,McLaren,,,,2017-08-25
10494,,,,,
10497,Mad Driver,"['Casual', ' Indie', ' Racing', ' Strategy']",,,2017-08-27
10508,Cat Sorter VR,"['Casual', ' Indie', ' Simulation']",Pawmigo Games,Pawmigo Games,2017-08-29
10535,Headmaster,"['Action', ' Indie', ' Sports']",Frame Interactive,Frame Interactive,2017-08-30
10539,Mindshow,"['Casual', ' Free to Play', ' Simulation', ' Animation & Modeling', ' Early Access']","Mindshow, Inc.","Mindshow, Inc.",2017-08-30
10540,Hoop Route,['Indie'],Neither One Games,Neither One Games,2017-08-30
10552,,,,,
10556,Disassembled,['Action'],Reversed Interactive,Reversed Interactive,2017-08-30
10559,Pyramid VR,"['Adventure', ' Casual', ' Indie']",Christopher Meyer,Notso Entertaining Productions,2017-01-06
10593,Fields of Battle,"['Action', ' Sports']",Super X Studios LLC,Super X Studios LLC,2017-09-01
10598,,,,,
10599,Maze Run VR,"['Action', ' Adventure', ' Indie', ' Simulation', ' Early Access']",Vice Age,Vice Age,2017-09-02
10620,,,,,
10626,,,,,
10638,Don Verdean,,,,2016-03-11
10665,VRQB,"['Action', ' Casual', ' Indie', ' Sports']","After Sunset Games, LLC","After Sunset Games, LLC",2017-09-08
10668,Soldiers Of Freedom,"['Action', ' Indie']",Bubel Studio,Bubel Studio,2017-09-08
10672,Exit VR,"['Action', ' Adventure', ' Casual', ' Indie', ' Simulation']",gaylesgamesstudio,gaylesgamesstudio,2017-09-11
10682,Edmonton Trolley Car,"['Adventure', ' Casual', ' Indie']",Gametrip,Gametrip,2017-09-12
10686,Manifest 99,['Indie'],Flight School Studio,Project Flight School Inc,2017-09-12
10687,The Last Sorcerer,"['Action', ' Indie', ' Simulation', ' Early Access']",Adam Radziszewski,"rcadeVR, LLC.",2017-09-10
10699,Air Tactical,"['Action', ' Casual', ' Indie']",,,2017-09-12
10710,Ocean Rift,"['Adventure', ' Casual', ' Indie']",Llyr ap Cenydd,Picselica Ltd,2017-09-13
10732,Duck Season,"['Action', ' Adventure', ' Casual', ' Indie']",Stress Level Zero,Stress Level Zero,2017-09-14
10734,MasterpieceVR,"['Animation & Modeling', ' Design & Illustration', ' Education']",MasterpieceVR,,2017-09-14
10738,TangramsVR,"['Casual', ' Early Access']",Kristin Dragos,"Beazle Bee, LLC",2017-09-15
10745,,,,,
10753,VR Darts Zone,"['Action', ' Casual', ' Indie', ' Simulation', ' Sports']",RealityBusters.co,MoreFromIT Sp. z o.o.,2017-09-15
10794,,,,,
10798,MarksmanVR,"['Action', ' Indie']",Studio Trapcard,Studio Trapcard,2017-05-17
10811,Holomeld,['Indie'],mindmeld.io Inc.,mindmeld.io Inc.,2017-09-20
10812,VR Escape The Puzzle Room,"['Adventure', ' Simulation']",TiStar Game,TiStar Game,2017-09-20
10813,,,,,
10814,,,,,
10815,Deep,,,,2017-08-25
10821,,,,,
10825,,,,,
10831,Project CARS 2,['Racing'],Slightly Mad Studios,BANDAI NAMCO Entertainment,2017-09-21
10842,Butterfly Moment,['Casual'],David Mulder,Red Splat Games,2017-09-22
10886,DWVR,"['Action', ' Indie']",Mad Triangles,Mad Triangles,2017-09-26
10902,Waiting on Mary,,,,2017-09-26
10903,The Magic Door,,,,2007-03-04
10912,Cirque du Soleil,['Casual'],Felix and Paul Studios,Felix and Paul Studios,2017-09-01
10921,End of Days,['Early Access'],Life Art Studios,Life Art Studios,2017-09-27
10925,Moon VR Video Player,"['Animation & Modeling', ' Education', ' Utilities', ' Video Production']",Rock VR,Rock VR,2017-09-27
10926,Gurugedara,"['Free to Play', ' Massively Multiplayer']",Osmium,Osmium,2017-10-01
10927,,,,,
10930,,,,,
10932,,,,,
10934,RuneSage,"['Adventure', ' Indie', ' RPG']",George Gilbert,George Gilbert,2017-09-28
10943,STYLY,"['Design & Illustration', ' Early Access']","Psychic VR Lab Co., Ltd.","Psychic VR Lab Co., Ltd.",2017-08-15
10958,Shoot Loop VR,"['Action', ' Indie', ' Simulation']",ARLOOPA Inc.,ARLOOPA Inc.,2017-09-28
10962,Dronihilation VR,"['Action', ' Indie', ' Simulation']",Zynk Software Srl,Zynk Software Srl,2017-09-28
10989,,,,,
10992,Escape from Planet Earth,,,,2013-05-21
10993,The Imitation Game,,,,2015-03-20
10995,Dark Skies,,,,2013-05-14
10997,Sellsword VR,"['Action', ' Adventure', ' Indie', ' RPG', ' Early Access']",Emerald Beast Studios,Emerald Beast Studios,2017-09-29
11007,,,,,
11009,PALEO museum VR,"['Design & Illustration', ' Education']",EVGENII MAKHNEV,EVGENII MAKHNEV,2017-10-03
11010,,,,,
11037,Tractorball,"['Action', ' Indie', ' Racing', ' Sports']",Ninja Whale Studios,Ninja Whale Studios,2017-10-04
11047,Water Planet,"['Adventure', ' Indie', ' Simulation']",The Revera Corporation,The Revera Corporation,2017-10-05
11049,VR Drivers,"['Racing', ' Simulation', ' Sports', ' Early Access']",Magic VR,Magic VR,2017-10-05
11053,Raw Data,"['Action', ' Indie', ' Strategy']",Survios,Survios,2017-10-05
11057,Melody,"['Indie', ' Simulation']",Verge of Brilliance LLC,Verge of Brilliance LLC,2017-10-05
11085,TankVR,"['Action', ' Indie', ' Simulation', ' Strategy', ' Early Access']",Daniel Bedrich,dochengmedia,2017-10-09
11088,,,,,
11112,Community Garden,"['Indie', ' Massively Multiplayer', ' Simulation', ' Early Access']",Pixelshot Games,Pixelshot Games,2017-10-10
11120,The Invisible Hours,"['Adventure', ' Casual']",Tequila Works,Game Trust,2017-10-10
11140,Star Shelter,"['Action', ' Adventure', ' Indie', ' RPG', ' Simulation', ' Early Access']",Overflow,Overflow,2017-10-12
11145,Kartofank VR,"['Action', ' Adventure', ' Casual', ' Indie', ' Simulation', ' Sports']",VIRTUAL REALITY LABORATORY DV,VIRTUAL REALITY LABORATORY DV,2017-10-12
11154,Space Pirate Trainer,['Action'],I-Illusions,I-Illusions,2017-10-12
11161,Telia VR conference,"['Animation & Modeling', ' Design & Illustration', ' Education', ' Utilities']",http,Telia,2017-10-13
11166,Cursed Isles,"['Action', ' Adventure', ' Casual', ' Indie', ' RPG', ' Early Access']",Disgruntled Games LLC,Disgruntled Games LLC,2017-10-13
11178,Deserving Life,['Free to Play'],"Lukas Paul, Gabriel Mittermair",Deserving Life,2017-10-13
11185,VR360Viewer,['Utilities'],Vrai,Vrai,2017-10-16
11210,Sneaky Bears,"['Action', ' Adventure', ' Casual', ' Indie']",WarDucks,WarDucks,2017-10-17
11211,OVERTURN,"['Action', ' Adventure']",STUDIO HG,YJM GAMES,2017-10-17
11243,,,,,
11247,VR Hockey League,"['Indie', ' Simulation', ' Sports', ' Early Access']",MadskillzVR,MadskillzVR,2017-10-18
11251,,,,,
11252,Museu do Círio de Nazaré em Realidade Virtual,"['Education', ' Early Access']",LOOT Interactive,LOOT Interactive,2017-10-18
11258,The Trace,['Adventure'],shenzhen YuHui Technologyco.LTD,shenzhen YuHui Technologyco.LTD,2017-09-12
11260,SweeperVR,['Casual'],Awesome Stuff Software,Awesome Stuff Software,2017-10-19
11276,The Cave VR,"['Action', ' Adventure', ' Simulation']",CGPills,CGPills,2017-10-19
11283,,,,,
11291,VRMakingSense,"['Utilities', ' Early Access']",Greg Dziemidowicz,Greg Dziemidowicz,2017-10-20
11292,Pathstow Mystery VR,"['Adventure', ' Indie']",Mystic cat,Mystic cat,2017-10-20
11315,,,,,
11328,,,,,
11332,Voxel Tank VR,['Action'],SAT-BOX,SAT-BOX,2017-10-24
11334,KRAKEN,"['Action', ' Indie']",FINCH,FINCH,2017-10-23
11336,,,,,
11339,Interworlds,"['Action', ' Adventure', ' Indie', ' Early Access']",Smartmelon,Smartmelon,2017-10-23
11341,Anti Gravity Warriors VR,"['Action', ' Adventure', ' Free to Play', ' Indie']",Niket Patel,Niket Patel,2017-10-10
11349,Bits n Bullets,"['Action', ' Casual']",David Mulder,Red Splat Games,2017-10-24
11354,Mind Sweeper VR,"['Casual', ' Strategy']",Chad R. Banks,Chad R. Banks,2017-10-24
11360,The Cavern,"['Action', ' Adventure', ' Casual', ' Indie', ' Strategy']",Space Paw Studios,Space Paw Studios,2017-10-24
11374,,,,,
11389,Hyperide VR,['Action'],Kool2Play,Kool2Play,2017-10-26
11391,,,,,
11392,TrueScale,"['Design & Illustration', ' Early Access']",Immersion,Immersion,2017-10-26
11395,Tengutana,"['Action', ' Casual', ' Indie', ' Simulation']",Bartoš Studio,Bartoš Studio,2017-10-26
11400,In Another World With My Smartphone,,,,2017-10-26
11401,Restaurant to Another World,,,,2017-10-26
11402,Akashic Records of Bastard Magic Instructor,,,,2017-10-26
11403,Fox Spirit Matchmaker,,,,2017-10-26
11406,,,,,
11407,,,,,
11412,Love Tyrant,,,,2017-10-26
11431,Fly Destroyer,['Simulation'],DillyFrame,DillyFrame,2017-10-27
11437,Demon Grade VR,"['Action', ' Indie']","Richard Stenson, Solus Games","Solus Games, Inc.",2017-10-27
11438,Cyber Arena,['Action'],Umbriel Studio,Umbriel Studio,2017-10-27
11439,,,,,
11441,,,,,
11453,Baby Hands,"['Action', ' Adventure', ' Casual', ' Indie', ' RPG', ' Simulation', ' Early Access']",Chicken Waffle,Chicken Waffle,
11457,,,,,
11467,Subject 264,"['Adventure', ' Indie']",Virtual Guys,Virtual Guys,
11473,,,,,
11476,Funball Games VR,"['Action', ' Casual', ' Indie', ' Sports']",Daniel Rychlý,Milan Matonok,2017-10-31
11485,Binary Trigger,"['Action', ' Indie']",One Lives Left,One Lives Left,2017-11-01
11497,Spud Cricket VR,"['Casual', ' Sports']",Hairy Man Games,Hairy Man Games,2017-11-02
11507,TimeTravelers,['Casual'],Studio Seven,Studio Seven,2017-11-02
11525,High Noon,"['Action', ' Simulation', ' Early Access']",The Holodeck,Revintu,2017-11-06
11544,,,,,
11558,Adventure Golf VR,"['Action', ' Adventure', ' Casual', ' Sports']",Skydome Studios,Skydome Studios,2017-11-07
11571,The Glass Castle,,,,2017-11-07
11572,One Dark Night,,,,1982-12-31
11574,,,,,
11576,Dance Studio VR,"['Casual', ' Indie', ' Simulation', ' Sports']","Air Viki, LLC","Air Viki, LLC",2017-11-07
11578,,,,,
11579,Crystal Reign,"['Action', ' Indie', ' Strategy', ' Early Access']",Virtual World Arcade,Virtual World Arcade,2017-11-07
11581,The Broken Seal,"['Action', ' Indie', ' RPG', ' Early Access']",XAREA,XAREA,2017-11-07
11584,No Clue VR,"['Casual', ' Indie', ' Simulation']",Elknight,Elknight,2017-05-18
11591,Nano Shift,"['Adventure', ' Indie', ' Simulation']",Egg Roll Digital Studios Inc.,Egg Roll Digital Studios Inc.,2017-08-16
11599,Castaway VR,"['Adventure', ' Indie', ' Early Access']",MC Games,MC Games,2017-11-09
11607,,,,,
11611,Blue Flame VR,['Education'],Michal Bárta,3DA,2017-10-23
11636,VR Hybrid War 2117,['Action'],Timo Polvinen,Appila Oy,2017-09-21
11649,Amazing Thailand VR Experience,['Casual'],"F.U.U.M. Co., Ltd.","F.U.U.M. Co., Ltd.",2017-11-13
11657,The Arena of Gladiators,"['Adventure', ' Casual']",Lithodomos VR,Lithodomos VR,2017-11-13
11659,High Noon VR,"['Action', ' Adventure', ' Simulation']",Octobox Interactive,Buka Entertainment,2017-11-14
11665,VR Mahjong worlds,"['Casual', ' Indie', ' Early Access']",PixelBrain Studio,PixelBrain Studio,2017-11-14
11667,Kedi,,,,2017-02-10
11679,,,,,
11683,,,,,
11685,The Little Prince VR,"['Adventure', ' Casual']",Red Accent Studios,Red Accent Studios,
11702,Oh My Cooking Gun,['Casual'],"Fake Eyes Co., Ltd.","Fake Eyes Co., Ltd.",2017-11-15
11703,,,,,
11710,Sparc,"['Action', ' Indie', ' Sports']",CCP,CCP,2017-11-16
11719,Elemental Combat,"['Action', ' Indie', ' Early Access']",AVRLON VR Studio,AVRLON VR Studio,2017-11-16
11723,,,,,
11739,Naval Legends,,,,2017-11-18
11748,Cove Point Fun Center VR,"['Casual', ' Indie', ' Sports']",Armet Games,Armet Games,2017-11-20
11759,,,,,
11769,,,,,
11774,,,,,
11775,,,,,
11799,Vector Velocity,"['Action', ' Casual']",David Mulder,Red Splat Games,2017-11-23
11800,Harvest Simulator VR,['Simulation'],Sakis25 Games,Bolt Virtual,2017-11-25
11806,Sprint Vector,"['Action', ' Indie', ' Racing', ' Sports']",Survios,Survios,
11809,Titanic VR,"['Action', ' Simulation', ' Early Access']",Immersive VR Education Ltd,Immersive VR Education Ltd,2017-11-24
11825,Dream Channel,"['Adventure', ' Casual', ' Free to Play']",Dream Channel,Dream Channel,2017-11-27
11828,,,,,
11834,,,,,
11841,AMON,"['Casual', ' Indie']",Lykke Studios,Lykke Studios,2017-11-28
11852,,,,,
11853,Z for Zachariah,,,,2015-10-20
11854,Woman in Gold,,,,2015-06-26
11862,,,,,
11874,,,,,
11877,Unknightly,"['Casual', ' Indie', ' Early Access']",Portal Studios,Portal Studios,2017-11-30
11878,,,,,
11879,,,,,
11880,,,,,
11884,Medieval Mayhem,"['Casual', ' Indie', ' Strategy', ' Early Access']",Liquid Light Games,Liquid Light Games,2017-12-01
11890,Nick,"['Action', ' Free to Play', ' Indie', ' Strategy']",Firstborn Games,Firstborn Games,2017-12-01
11898,Murph the Protector,,,,2014-01-07
11899,,,,,
11912,Silent space VR,"['Adventure', ' Casual', ' Indie']",bch waves,bch waves,2017-12-04
11937,The Spiritualist,,,,2017-12-05
11940,,,,,
11953,Boston,,,,2017-12-05
11954,Ribbons,,,,2017-12-05
11968,AliveInVR,['Indie'],AliveIn Technology Ltd,AliveIn Technology Ltd,2017-12-06
11969,,,,,
11975,,,,,
11977,Lucky Night VR,"['Casual', ' Free to Play', ' Early Access']",Tencent Games,Tencent Games,2017-12-06
11990,,,,,
12017,,,,,
12022,,,,,
12030,,,,,
12045,Meme Dragons,"['Action', ' Indie', ' Early Access']",Sky Nite,Sky Nite,2017-12-12
12058,Audio Drive Neon,"['Indie', ' Racing', ' Early Access']",2-Volt Games,2-Volt Games,2017-12-13
12068,,,,,
12069,,,,,
12071,,,,,
12072,Rockland VR,"['Casual', ' Indie']",VactoR,VactoR,2017-12-13
12073,Hannibal,,,,2013-04-05
12120,Psyche Soldier VR,"['Action', ' Indie']",Single Step Games,Single Step Games,2017-12-15
12122,No Ordinary Elevator,"['Adventure', ' Indie']",Silver Machine Studios,Silver Machine Studios,
12131,The Dream Collector,"['Casual', ' Indie']",Pinta Studios,Pinta Studios,2017-12-17
12132,DoubleTap,"['Action', ' Indie', ' Simulation', ' Early Access']",EasterEgg Workshop,EasterEgg Workshop,2017-12-17
12141,MuX,"['Indie', ' Simulation', ' Early Access']",Decochon,Decochon,2017-12-18
12145,DR1 Racing presents the DHL Champions Series fueled by Mountain Dew,,,,2017-12-20
12147,Treasure Bolt,"['Action', ' Adventure', ' Casual', ' Strategy', ' Early Access']",StaplesVR,StaplesVR,2017-12-14
12150,Wrath Of The Fire God,"['Action', ' Adventure']",Gamaya Inc,Gamaya Inc,2017-12-18
12151,,,,,
12158,,,,,
12190,CITY BALLS VR,"['Action', ' Early Access']",Thiele Media,Thiele Media,2017-12-20
12200,,,,,
12201,,,,,
12212,,,,,
12218,RollerCoaster Legends,['Adventure'],WarDucks,WarDucks,2017-12-21
12244,Tactera,"['Indie', ' Strategy']",E McNeill,E McNeill,2017-12-22
12246,Big Bang Billiards,"['Casual', ' Indie', ' Early Access']","Octopus Interactive VR, LLC","Octopus Interactive VR, LLC",2017-12-23
12249,HUGE BEER PONG CHALLENGES VR,"['Casual', ' Indie', ' Strategy', ' Early Access']",Damien Gilliams,Damos Designs,2017-12-25
12267,Uizuno Blade VR,"['Action', ' Early Access']",Simon Bissonnette,Uizuno,2017-12-26
12276,MIMIC,"['Action', ' Adventure', ' Casual', ' Simulation', ' Sports', ' Strategy', ' Early Access']",Scribe,Alpha Graphic Designs,2017-12-28
12278,Jida Chronicle Chaos frontier VR,"['Action', ' Adventure', ' Indie', ' RPG']",Iron Helmet,Iron Helmet,2017-12-28
12280,,,,,
12286,The Day They Landed,"['Action', ' Indie', ' Early Access']",Studio Axiom,Studio Axiom,2017-12-29
12289,Tennis Arcade VR,"['Indie', ' Simulation', ' Sports', ' Early Access']",ITCSolutions,ITCSolutions,2017-12-29
12290,Dawn City,"['Action', ' Adventure', ' Simulation']",Lucid Dream Studio,Lucid Dream Studio,2017-12-20
12310,Medicalholodeck Personal Version,['Education'],medicalholodeck.com,nooon.io,2017-12-30
12314,,,,,
12315,,,,,
12318,Flappy Arms,"['Casual', ' Simulation']",Improbable Industries,Virtual World Arcade,2018-01-03
12319,SpaceWalker,"['Casual', ' Early Access']",TM xR Lab,TM xR Lab,2018-01-03
12331,After Life VR,"['Indie', ' Early Access']",Pablo Rueda Feraud,Pablo Rueda Feraud,2018-01-03
12332,Kitty Hawk,"['Action', ' Adventure', ' Casual', ' Indie', ' Early Access']",idsibidsi games,"Intelligent Decision Systems, Inc.",2018-01-03
12340,Neon8,['Action'],GameDevCoop,GameDevCoop,2017-12-31
12360,Kingdom Watcher,"['Action', ' Free to Play', ' Strategy', ' Early Access']",Subdream Studios,Subdream Studios,2017-09-09
