,title,genres,developer,publisher,release_date
5474,Dawn of the Robot Empire,"['Action', ' Indie', ' Early Access']","oeFun, Inc.","oeFun, Inc.",2016-04-11
5476,,,,,
5508,Paintey,"['Indie', ' Simulation', ' Early Access']",Brian Lindenhof,ShadowBrain Games,2016-04-18
5513,Sisters,"['Adventure', ' Indie']",Otherworld Interactive,Otherworld Interactive,
5514,Poly Runner VR,"['Casual', ' Indie']","Lucid Sight, Inc.","Lucid Sight, Inc.",2016-04-18
5518,Andromedum,"['Casual', ' Indie']",Imbanova Entertainment Inc.,Imbanova Entertainment Inc.,2016-04-15
5527,Sweet Escape VR,"['Action', ' Adventure', ' Casual', ' Indie', ' Massively Multiplayer', ' Racing', ' Simulation', ' Sports', ' Early Access']",Monster VR,Monster VR,2016-04-20
5530,,,,,
5540,Colosse,['Adventure'],Colosse Team,Fire Panda Ltd.,2016-04-20
5551,Heaven Island Life,"['Indie', ' Simulation']",Fabio Ferrara,Chubby Pixel,2016-04-20
5582,,,,,
5585,Natural Born Pranksters,,,,2015-04-01
5587,Deck the Halls,,,,2011-12-20
5589,,,,,
5590,Warm Bodies,,,,2013-02-01
5591,Leprechaun,,,,1993-04-07
5593,Killer Joe,,,,2012-07-27
5594,,,,,
5595,Sex Drive,,,,2008-10-17
5598,Gamer,,,,2009-09-04
5599,Meatballs,,,,2003-06-24
5600,Apocalypse Now Redux,,,,2010-05-18
5602,Hostel,,,,2006-04-18
5603,Raw Deal,,,,1998-06-22
5604,,,,,
5605,,,,,
5606,Waiting,,,,2006-02-07
5607,Cyborg 2,,,,1993-11-24
5608,Requiem for a Dream,,,,2001-05-22
5609,,,,,
5610,Scary Movie 2,,,,2001-12-18
5611,,,,,
5612,See No Evil 2,,,,2014-10-21
5613,Scary Movie 3,,,,2004-05-11
5614,The Possession,,,,2013-01-15
5615,School Dance,,,,2014-07-02
5616,Warrior,,,,2011-09-09
5617,,,,,
5654,,,,,
5677,iOMoon,"['Action', ' Adventure', ' Indie', ' Simulation', ' Early Access']",Headtrip Games llc,Headtrip Games llc,2016-04-27
5680,Bigscreen Beta,['Simulation'],"Bigscreen, Inc.","Bigscreen, Inc.",2016-04-28
5689,,,,,
5697,IS Defense Editor,,,,2016-04-29
5699,Stealth Labyrinth,"['Action', ' Indie']",Reddoll Srl,IV Production,2016-04-29
5703,PaintLab,"['Animation & Modeling', ' Design & Illustration']",LAB4242,LAB4242,2016-04-29
5723,Omega Agent,"['Action', ' Indie']",Fireproof Games,Fireproof Games,2016-05-04
5740,Mind Unleashed,"['Action', ' Indie']",Frost Earth,IV Productions,2016-05-05
5744,Ultimate Avengers 2,,,,2006-08-08
5746,Ultimate Avengers,,,,2006-02-21
5747,The Invincible Iron Man,,,,2007-01-23
5752,VIRTUAnimator,"['Animation & Modeling', ' Early Access']",Pheonise,Pheonise,2016-05-09
5753,Orc Assault,"['Indie', ' RPG', ' Strategy']",Ghost Machine,Ghost Machine,2016-05-10
5766,Gravity Compass,['Casual'],NovaWake Studios,NovaWake Studios,2016-05-07
5775,,,,,
5780,Source Code,,,,2011-07-26
5781,,,,,
5782,Sling Blade,,,,1998-01-06
5783,,,,,
5784,The Way of the Gun,,,,2001-01-02
5785,Supercop,,,,1998-04-21
5786,The Punisher,,,,2004-09-07
5787,The Cold Light of Day,,,,2013-01-29
5788,The Perks of Being a Wallflower,,,,2013-02-12
5789,,,,,
5790,,,,,
5791,,,,,
5795,,,,,
5797,An American Werewolf in London,,,,1985-10-16
5805,Ad Exitum,"['Action', ' Indie']",Since Idea Games,Since Idea Games,2016-05-13
5813,Incident at Loch Ness,,,,2004-09-17
5823,Disney Movies VR,['Utilities'],Walt Disney Studios,Disney Interactive,2016-05-16
5828,,,,,
5830,Sketchfab VR,['Adventure'],Sketchfab,Sketchfab,2016-05-13
5831,Dolphin Defense,"['Action', ' Adventure', ' Indie']",Tanner Thayer,Tanner Thayer,2016-05-16
5844,Gods of Egypt,,,,2016-05-17
5853,,,,,
5864,,,,,
5887,Time Machine VR,"['Adventure', ' Indie', ' Simulation']",Minority Media Inc.,Minority Media Inc.,2016-05-19
5889,Canis Belli,,,,2016-03-11
5900,Holodaze,"['Action', ' Casual', ' Indie']",Sysdia Games,Sysdia Games,2016-05-19
5907,bloxyz,"['Casual', ' Indie']",Svution,Svution,2016-05-19
5910,VR Karts SteamVR,"['Casual', ' Indie', ' Racing']",Viewpoint Games,Viewpoint Games,2016-05-20
5915,Please Hold,,,,2016-04-05
5916,,,,,
5932,Surge,['Indie'],House of Secrets,House of Secrets,2016-05-19
5949,vrAMP,"['Casual', ' Indie', ' Early Access']",Oriku Inc,Oriku Inc,2016-05-27
5964,Leave The Nest,"['Action', ' Casual', ' Indie']",Kaio Interactive,Kaio Interactive,2016-05-27
5970,,,,,
5971,Waltz of the Wizard,"['Adventure', ' Indie', ' Simulation']",Aldin Dynamics,Aldin Dynamics,2016-05-31
5980,Lightblade VR,"['Action', ' Indie', ' Simulation']",Andreas Hager Gaming,Andreas Hager Gaming,2016-05-31
5988,Sports Bar VR,"['Casual', ' Indie', ' Simulation', ' Sports', ' Strategy']",Cherry Pop Games,Perilous Orbit,2016-06-01
6040,,,,,
6042,Turbo Kid,,,,2015-08-28
6046,Facing Ali,,,,2009-12-29
6048,See No Evil,,,,2006-11-28
6054,,,,,
6067,,,,,
6086,,,,,
6110,Dogfight Elite,"['Action', ' Indie', ' Massively Multiplayer', ' Simulation', ' Strategy', ' Early Access']",Echoboom S.L.,Echoboom S.L.,2016-06-11
6115,Octoshield VR,"['Action', ' Indie', ' Simulation', ' Sports', ' Early Access']",Potato Games,Potato Games,2016-06-15
