,0
Action,4222
Casual,2997
Indie,5006
Adventure,2421
RPG,2709
Simulation,4129
Racing,454
Sports,629
Free to Play,1116
Strategy,3447
Design &amp; Illustration,340
Web Publishing,247
Massively Multiplayer,633
Audio Production,36
Animation &amp; Modeling,95
Education,42
Utilities,163
Software Training,36
Video Production,37
Photo Editing,38
Early Access,1
